rep,position,fraction,latency_ns,outlier
1,17228295,0.862121,194186,1
1,17228296,0.862121,189512,1
1,17228297,0.862121,184966,1
1,17228298,0.862121,180430,1
1,17228299,0.862121,175918,1
1,17228300,0.862121,171326,1
1,17228301,0.862121,166921,1
1,17228302,0.862121,162341,1
1,17228303,0.862121,157549,1
1,17228304,0.862121,153024,1
1,17228305,0.862122,148543,1
1,17228306,0.862122,144051,1
1,17228307,0.862122,139467,1
1,17228308,0.862122,134783,1
1,17228309,0.862122,130392,1
1,17228310,0.862122,125784,1
1,17228311,0.862122,121421,1
1,17228312,0.862122,117042,1
1,17228313,0.862122,112662,1
1,17228314,0.862122,108338,1
1,17228315,0.862122,103740,1
1,17228316,0.862122,99473,1
1,17228317,0.862122,95097,1
1,17228318,0.862122,90690,1
1,17228319,0.862122,86246,1
1,17228320,0.862122,81780,1
1,17228321,0.862122,77273,1
1,17228322,0.862122,72678,1
1,17228323,0.862122,68160,1
1,17228788,0.862146,102543,1
1,17228789,0.862146,98455,1
1,17228790,0.862146,94191,1
1,17228791,0.862146,90470,1
1,17228792,0.862146,86270,1
1,17228793,0.862146,82133,1
1,17228794,0.862146,77837,1
1,17228795,0.862146,73622,1
1,17228796,0.862146,69650,1
1,17228797,0.862146,65272,1
1,17232769,0.862345,35629,0
1,17239939,0.862704,64161,1
1,17240765,0.862745,39264,0
1,17248762,0.863145,35296,0
1,17256759,0.863545,35124,0
1,17264755,0.863946,36769,0
1,17272752,0.864346,35446,0
1,17280749,0.864746,34963,0
1,17288745,0.865146,35414,0
1,17296742,0.865546,35780,0
